Date,Open,High,Low,Close,Volume
2024-10-02 00:00:00-04:00,385.25,392.0,378.0,389.75,460
2024-10-03 00:00:00-04:00,390.0,392.5,378.25,383.75,513
2024-10-04 00:00:00-04:00,380.25,389.5,373.25,388.25,578
2024-10-07 00:00:00-04:00,387.0,397.5,385.0,395.75,428
2024-10-08 00:00:00-04:00,393.0,396.75,380.75,389.0,659
2024-10-09 00:00:00-04:00,389.25,390.0,376.75,387.25,543
2024-10-10 00:00:00-04:00,388.25,394.0,381.5,384.0,761
2024-10-11 00:00:00-04:00,382.75,388.75,378.25,379.75,505
2024-10-14 00:00:00-04:00,380.0,384.0,370.5,372.75,625
2024-10-15 00:00:00-04:00,372.0,379.75,369.5,377.0,846
2024-10-16 00:00:00-04:00,378.75,388.0,376.75,379.0,621
2024-10-17 00:00:00-04:00,378.0,389.75,376.75,388.25,391
2024-10-18 00:00:00-04:00,389.25,389.75,382.0,382.5,226
2024-10-21 00:00:00-04:00,382.5,389.0,376.25,379.5,373
2024-10-22 00:00:00-04:00,377.0,384.75,374.25,383.0,486
2024-10-23 00:00:00-04:00,381.0,382.25,377.0,380.5,273
2024-10-24 00:00:00-04:00,380.0,383.75,373.5,376.75,426
2024-10-25 00:00:00-04:00,379.0,381.5,376.5,380.25,1264
2024-10-28 00:00:00-04:00,378.0,383.0,374.75,379.75,454
2024-10-29 00:00:00-04:00,379.0,388.0,378.5,384.0,417
2024-10-30 00:00:00-04:00,384.0,392.5,383.75,390.75,471
2024-10-31 00:00:00-04:00,391.0,403.75,387.75,394.5,1172
2024-11-01 00:00:00-04:00,394.5,400.5,394.25,399.25,648
2024-11-04 00:00:00-05:00,397.5,408.0,389.5,390.0,927
2024-11-05 00:00:00-05:00,390.5,395.0,387.25,391.25,628
2024-11-06 00:00:00-05:00,391.75,393.0,383.5,391.75,440
2024-11-07 00:00:00-05:00,391.0,391.0,379.5,383.25,627
2024-11-08 00:00:00-05:00,384.5,385.0,359.25,361.5,950
2024-11-11 00:00:00-05:00,361.5,361.5,341.5,345.75,914
2024-11-12 00:00:00-05:00,345.25,350.0,338.25,345.0,923
2024-11-13 00:00:00-05:00,343.5,345.0,336.0,342.0,614
2024-11-14 00:00:00-05:00,344.0,357.0,342.25,348.5,745
2024-11-15 00:00:00-05:00,353.25,359.25,348.5,356.75,365
2024-11-18 00:00:00-05:00,357.5,372.25,353.75,363.75,532
2024-11-19 00:00:00-05:00,367.25,369.5,338.75,344.75,415
2024-11-20 00:00:00-05:00,345.0,354.25,336.75,344.75,235
2024-11-21 00:00:00-05:00,347.5,352.0,343.25,346.25,237
2024-11-22 00:00:00-05:00,343.0,352.25,343.0,349.25,68
2024-11-25 00:00:00-05:00,349.75,350.0,345.0,345.0,332
2024-11-26 00:00:00-05:00,348.25,358.25,347.0,347.75,423
2024-11-27 00:00:00-05:00,348.25,352.0,332.25,334.25,195
2024-11-29 00:00:00-05:00,332.25,337.5,332.25,337.5,13
2024-12-02 00:00:00-05:00,343.5,348.5,343.5,348.5,4
2024-12-03 00:00:00-05:00,351.0,356.75,351.0,356.75,1
2024-12-04 00:00:00-05:00,356.0,356.0,356.0,356.0,0
2024-12-05 00:00:00-05:00,341.5,341.5,341.5,341.5,6
2024-12-06 00:00:00-05:00,336.75,336.75,336.75,336.75,0
2024-12-09 00:00:00-05:00,348.25,348.25,332.0,332.0,5
2024-12-10 00:00:00-05:00,331.25,331.25,331.25,331.25,5
2024-12-11 00:00:00-05:00,334.75,334.75,334.75,334.75,1
2024-12-12 00:00:00-05:00,339.25,339.25,339.25,339.25,1
2024-12-13 00:00:00-05:00,340.5,340.5,340.5,340.5,430
2024-12-16 00:00:00-05:00,368.5,369.0,364.75,368.0,280
2024-12-17 00:00:00-05:00,367.0,367.75,357.25,364.0,168
2024-12-18 00:00:00-05:00,361.0,366.25,356.0,359.5,369
2024-12-19 00:00:00-05:00,358.0,363.25,355.25,355.75,253
2024-12-20 00:00:00-05:00,355.75,359.5,351.0,351.25,463
2024-12-23 00:00:00-05:00,351.0,355.75,340.0,341.0,482
2024-12-24 00:00:00-05:00,341.25,344.0,332.25,332.5,514
2024-12-26 00:00:00-05:00,333.75,338.0,329.75,330.5,486
2024-12-27 00:00:00-05:00,330.25,330.25,317.5,318.0,486
